枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,アナゴサン,牡,7,56.0,川又 賢治,牧田 和弥(栗東),2508021210,2025年6月1日（日）,京都,15:15,安土城ステークスL,10R,芝1400,OP(L)
1,2,タイセイブリリオ,牡,6,54.0,西塚 洸二,大橋 勇樹(栗東),2508021210,2025年6月1日（日）,京都,15:15,安土城ステークスL,10R,芝1400,OP(L)
2,3,ジョウショーホープ,牡,5,56.0,菱田 裕二,新谷 功一(栗東),2508021210,2025年6月1日（日）,京都,15:15,安土城ステークスL,10R,芝1400,OP(L)
2,4,メイショウシンタケ,牡,7,56.0,高杉 吏麒,千田 輝彦(栗東),2508021210,2025年6月1日（日）,京都,15:15,安土城ステークスL,10R,芝1400,OP(L)
3,5,クランフォード,牝,4,54.0,吉村 誠之助,杉山 晴紀(栗東),2508021210,2025年6月1日（日）,京都,15:15,安土城ステークスL,10R,芝1400,OP(L)
3,6,ペイシャフラワー,牝,5,51.0,永島 まなみ,高橋 康之(栗東),2508021210,2025年6月1日（日）,京都,15:15,安土城ステークスL,10R,芝1400,OP(L)
4,7,ブランデーロック,牡,6,51.0,藤懸 貴志,青木 孝文(美浦),2508021210,2025年6月1日（日）,京都,15:15,安土城ステークスL,10R,芝1400,OP(L)
4,8,グレイイングリーン,牡,7,56.0,田口 貫太,池江 泰寿(栗東),2508021210,2025年6月1日（日）,京都,15:15,安土城ステークスL,10R,芝1400,OP(L)
5,9,コラソンビート,牝,4,55.0,松若 風馬,加藤 士津八(美浦),2508021210,2025年6月1日（日）,京都,15:15,安土城ステークスL,10R,芝1400,OP(L)
5,10,ヤマニンサンパ,牡,7,56.0,団野 大成,斉藤 崇史(栗東),2508021210,2025年6月1日（日）,京都,15:15,安土城ステークスL,10R,芝1400,OP(L)
6,11,バウンシーステップ,牝,4,53.0,鮫島 克駿,高橋 亮(栗東),2508021210,2025年6月1日（日）,京都,15:15,安土城ステークスL,10R,芝1400,OP(L)
6,12,レイベリング,牡,5,57.0,和田 竜二,鹿戸 雄一(美浦),2508021210,2025年6月1日（日）,京都,15:15,安土城ステークスL,10R,芝1400,OP(L)
7,13,タマモブラックタイ,牡,5,55.0,幸 英明,角田 晃一(栗東),2508021210,2025年6月1日（日）,京都,15:15,安土城ステークスL,10R,芝1400,OP(L)
7,14,ラケマーダ,牡,5,55.0,藤岡 佑介,千田 輝彦(栗東),2508021210,2025年6月1日（日）,京都,15:15,安土城ステークスL,10R,芝1400,OP(L)
8,15,スカイロケット,牡,5,55.0,酒井 学,須貝 尚介(栗東),2508021210,2025年6月1日（日）,京都,15:15,安土城ステークスL,10R,芝1400,OP(L)
8,16,アスクワンタイム,牡,4,56.0,川須 栄彦,梅田 智之(栗東),2508021210,2025年6月1日（日）,京都,15:15,安土城ステークスL,10R,芝1400,OP(L)
