枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,メイショウサチダケ,牡,4,58.0,幸 英明,鈴木 孝志(栗東),2509030212,2025年6月8日（日）,阪神,16:15,サラ系3歳上500万円以下,12R,芝1400,1勝
1,2,ジーティースピカ,牝,4,52.0,河原田 菜々,加藤 和宏(美浦),2509030212,2025年6月8日（日）,阪神,16:15,サラ系3歳上500万円以下,12R,芝1400,1勝
2,3,ベルビースタローン,牝,3,53.0,岩田 望来,西村 真幸(栗東),2509030212,2025年6月8日（日）,阪神,16:15,サラ系3歳上500万円以下,12R,芝1400,1勝
2,4,ブルクトーア,牡,3,55.0,小沢 大仁,長谷川 浩大(栗東),2509030212,2025年6月8日（日）,阪神,16:15,サラ系3歳上500万円以下,12R,芝1400,1勝
3,5,ブラックサンライズ,牝,4,53.0,鷲頭 虎太,井上 智史(栗東),2509030212,2025年6月8日（日）,阪神,16:15,サラ系3歳上500万円以下,12R,芝1400,1勝
3,6,エクストラバック,牡,4,58.0,酒井 学,西園 正都(栗東),2509030212,2025年6月8日（日）,阪神,16:15,サラ系3歳上500万円以下,12R,芝1400,1勝
4,7,ローガンパス,牡,4,58.0,荻野 極,東田 明士(栗東),2509030212,2025年6月8日（日）,阪神,16:15,サラ系3歳上500万円以下,12R,芝1400,1勝
4,8,ホーリーブラッサム,牝,3,53.0,団野 大成,斉藤 崇史(栗東),2509030212,2025年6月8日（日）,阪神,16:15,サラ系3歳上500万円以下,12R,芝1400,1勝
5,9,レイザリオ,牡,3,55.0,鮫島 克駿,橋口 慎介(栗東),2509030212,2025年6月8日（日）,阪神,16:15,サラ系3歳上500万円以下,12R,芝1400,1勝
5,10,ショウナンラウール,牝,4,56.0,斎藤 新,高橋 義忠(栗東),2509030212,2025年6月8日（日）,阪神,16:15,サラ系3歳上500万円以下,12R,芝1400,1勝
6,11,デアリングエア,牝,3,50.0,和田 陽希,杉山 晴紀(栗東),2509030212,2025年6月8日（日）,阪神,16:15,サラ系3歳上500万円以下,12R,芝1400,1勝
6,12,ダノンアルム,牝,4,53.0,田山 旺佑,佐々木 晶三(栗東),2509030212,2025年6月8日（日）,阪神,16:15,サラ系3歳上500万円以下,12R,芝1400,1勝
7,13,マルカシャルマン,牝,5,54.0,今村 聖奈,浜田 多実雄(栗東),2509030212,2025年6月8日（日）,阪神,16:15,サラ系3歳上500万円以下,12R,芝1400,1勝
7,14,モズリバーシャトー,牝,3,53.0,荻野 琢真,平田 修(栗東),2509030212,2025年6月8日（日）,阪神,16:15,サラ系3歳上500万円以下,12R,芝1400,1勝
8,15,リアライズ,牡,5,55.0,森田 誠也,石橋 守(栗東),2509030212,2025年6月8日（日）,阪神,16:15,サラ系3歳上500万円以下,12R,芝1400,1勝
8,16,チューラワンサ,牝,3,53.0,北村 友一,高野 友和(栗東),2509030212,2025年6月8日（日）,阪神,16:15,サラ系3歳上500万円以下,12R,芝1400,1勝
