枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,デルマイオ,牡,3,54.0,鷲頭 虎太,畑端 省吾(栗東),2502010206,2025年6月15日（日）,函館,12:35,サラ系3歳未勝利,6R,芝2000,未勝利
2,2,メテオレーナ,牝,3,53.0,長浜 鴻緒,中村 直也(栗東),2502010206,2025年6月15日（日）,函館,12:35,サラ系3歳未勝利,6R,芝2000,未勝利
3,3,フランクテソーロ,牡,3,57.0,中井 裕二,畠山 吉宏(美浦),2502010206,2025年6月15日（日）,函館,12:35,サラ系3歳未勝利,6R,芝2000,未勝利
4,4,アルファシリウス,牡,3,54.0,古川 奈穂,矢作 芳人(栗東),2502010206,2025年6月15日（日）,函館,12:35,サラ系3歳未勝利,6R,芝2000,未勝利
4,5,エアザキントス,牡,3,56.0,松本 大輝,新谷 功一(栗東),2502010206,2025年6月15日（日）,函館,12:35,サラ系3歳未勝利,6R,芝2000,未勝利
5,6,ウィスパーボイス,牡,3,54.0,森田 誠也,千田 輝彦(栗東),2502010206,2025年6月15日（日）,函館,12:35,サラ系3歳未勝利,6R,芝2000,未勝利
5,7,レッドヴァリアート,牡,3,57.0,佐々木 大輔,加藤 公太(栗東),2502010206,2025年6月15日（日）,函館,12:35,サラ系3歳未勝利,6R,芝2000,未勝利
6,8,ピティロディア,牡,3,54.0,上里 直汰,西田 雄一郎(美浦),2502010206,2025年6月15日（日）,函館,12:35,サラ系3歳未勝利,6R,芝2000,未勝利
6,9,フィエールガール,牝,3,55.0,斎藤 新,土田 稔(美浦),2502010206,2025年6月15日（日）,函館,12:35,サラ系3歳未勝利,6R,芝2000,未勝利
7,10,ラマヌジャン,牡,3,57.0,浜中 俊,宮地 貴稔(栗東),2502010206,2025年6月15日（日）,函館,12:35,サラ系3歳未勝利,6R,芝2000,未勝利
7,11,レクスノヴァス,牡,3,57.0,岩田 康誠,上村 洋行(栗東),2502010206,2025年6月15日（日）,函館,12:35,サラ系3歳未勝利,6R,芝2000,未勝利
8,12,ヴォルヴァ,牝,3,55.0,吉田 隼人,尾形 和幸(美浦),2502010206,2025年6月15日（日）,函館,12:35,サラ系3歳未勝利,6R,芝2000,未勝利
8,13,ペールノエル,牡,3,57.0,丹内 祐次,西村 真幸(栗東),2502010206,2025年6月15日（日）,函館,12:35,サラ系3歳未勝利,6R,芝2000,未勝利
