枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,パッセアジル,牡,4,58.0,丸山 元気,千葉 直人(美浦),2505030612,2025年6月22日（日）,東京,16:30,サラ系3歳上500万円以下,12R,ダ1400,1勝
1,2,アルーリングタイム,牝,4,56.0,戸崎 圭太,中舘 英二(美浦),2505030612,2025年6月22日（日）,東京,16:30,サラ系3歳上500万円以下,12R,ダ1400,1勝
2,3,リアルショット,牡,3,55.0,杉原 誠人,加藤 征弘(美浦),2505030612,2025年6月22日（日）,東京,16:30,サラ系3歳上500万円以下,12R,ダ1400,1勝
2,4,ドントゥザムーン,牡,3,55.0,岩田 望来,高木 登(美浦),2505030612,2025年6月22日（日）,東京,16:30,サラ系3歳上500万円以下,12R,ダ1400,1勝
3,5,ノーブルニードル,牡,4,58.0,木幡 初也,粕谷 昌央(美浦),2505030612,2025年6月22日（日）,東京,16:30,サラ系3歳上500万円以下,12R,ダ1400,1勝
3,6,フウセツ,牡,3,55.0,大野 拓弥,鈴木 慎太郎(美浦),2505030612,2025年6月22日（日）,東京,16:30,サラ系3歳上500万円以下,12R,ダ1400,1勝
4,7,エコロヴァルム,牡,4,58.0,田辺 裕信,小西 一男(美浦),2505030612,2025年6月22日（日）,東京,16:30,サラ系3歳上500万円以下,12R,ダ1400,1勝
4,8,リプレゼント,牡,5,58.0,荻野 極,高柳 瑞樹(美浦),2505030612,2025年6月22日（日）,東京,16:30,サラ系3歳上500万円以下,12R,ダ1400,1勝
5,9,シークレットロゴ,牡,5,58.0,石川 裕紀人,和田 正一郎(美浦),2505030612,2025年6月22日（日）,東京,16:30,サラ系3歳上500万円以下,12R,ダ1400,1勝
5,10,ニシノヴィヴィ,牝,4,54.0,今村 聖奈,矢野 英一(美浦),2505030612,2025年6月22日（日）,東京,16:30,サラ系3歳上500万円以下,12R,ダ1400,1勝
6,11,ウォーハンマー,牡,5,58.0,津村 明秀,矢嶋 大樹(美浦),2505030612,2025年6月22日（日）,東京,16:30,サラ系3歳上500万円以下,12R,ダ1400,1勝
6,12,キョウエイスレーヴ,牡,3,55.0,原 優介,萱野 浩二(美浦),2505030612,2025年6月22日（日）,東京,16:30,サラ系3歳上500万円以下,12R,ダ1400,1勝
7,13,トニケンサンバ,牡,3,55.0,石橋 脩,西田 雄一郎(美浦),2505030612,2025年6月22日（日）,東京,16:30,サラ系3歳上500万円以下,12R,ダ1400,1勝
7,14,サンマルリアン,牝,5,56.0,小林 凌大,土田 稔(美浦),2505030612,2025年6月22日（日）,東京,16:30,サラ系3歳上500万円以下,12R,ダ1400,1勝
8,15,メッエフアパラ,牡,4,58.0,吉田 豊,辻 哲英(美浦),2505030612,2025年6月22日（日）,東京,16:30,サラ系3歳上500万円以下,12R,ダ1400,1勝
8,16,スプランドゥール,牡,4,58.0,柴田 大知,和田 雄二(美浦),2505030612,2025年6月22日（日）,東京,16:30,サラ系3歳上500万円以下,12R,ダ1400,1勝
