枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,アサクサヴィーナス,牝,5,56.0,大野 拓弥,高柳 瑞樹(美浦),2503020312,2025年7月5日（土）,福島,16:30,サラ系3歳上500万円以下,12R,芝1200,1勝
2,2,プリュノワール,牝,4,56.0,杉原 誠人,浅利 英明(美浦),2503020312,2025年7月5日（土）,福島,16:30,サラ系3歳上500万円以下,12R,芝1200,1勝
2,3,ラトルシェ,牝,3,53.0,菅原 明良,菊川 正達(美浦),2503020312,2025年7月5日（土）,福島,16:30,サラ系3歳上500万円以下,12R,芝1200,1勝
3,4,ユーティジャーニー,牝,3,50.0,遠藤 汰月,矢嶋 大樹(美浦),2503020312,2025年7月5日（土）,福島,16:30,サラ系3歳上500万円以下,12R,芝1200,1勝
3,5,エルフレスアリー,牝,5,56.0,北村 友一,木村 哲也(美浦),2503020312,2025年7月5日（土）,福島,16:30,サラ系3歳上500万円以下,12R,芝1200,1勝
4,6,ビアフォーナウ,牝,4,56.0,丸田 恭介,池上 昌和(美浦),2503020312,2025年7月5日（土）,福島,16:30,サラ系3歳上500万円以下,12R,芝1200,1勝
4,7,ウィンウッドテール,牝,5,52.0,谷原 柚希,清水 英克(美浦),2503020312,2025年7月5日（土）,福島,16:30,サラ系3歳上500万円以下,12R,芝1200,1勝
5,8,スマイルディシー,牝,3,53.0,原 優介,中川 公成(美浦),2503020312,2025年7月5日（土）,福島,16:30,サラ系3歳上500万円以下,12R,芝1200,1勝
5,9,レッドカメリア,牝,5,56.0,小林 脩斗,佐藤 吉勝(美浦),2503020312,2025年7月5日（土）,福島,16:30,サラ系3歳上500万円以下,12R,芝1200,1勝
6,10,パレスドフィーヌ,牝,4,56.0,丸山 元気,鈴木 慎太郎(美浦),2503020312,2025年7月5日（土）,福島,16:30,サラ系3歳上500万円以下,12R,芝1200,1勝
6,11,セイウンデセオ,牝,4,54.0,今村 聖奈,小手川 準(美浦),2503020312,2025年7月5日（土）,福島,16:30,サラ系3歳上500万円以下,12R,芝1200,1勝
7,12,ザハーフェル,牝,4,53.0,水沼 元輝,本間 忍(美浦),2503020312,2025年7月5日（土）,福島,16:30,サラ系3歳上500万円以下,12R,芝1200,1勝
7,13,モンレーヴ,牝,4,53.0,石神 深道,金成 貴史(美浦),2503020312,2025年7月5日（土）,福島,16:30,サラ系3歳上500万円以下,12R,芝1200,1勝
8,14,ティピティーナ,牝,3,53.0,戸崎 圭太,林 徹(美浦),2503020312,2025年7月5日（土）,福島,16:30,サラ系3歳上500万円以下,12R,芝1200,1勝
8,15,ボンヌソワレ,牝,3,53.0,津村 明秀,宮田 敬介(美浦),2503020312,2025年7月5日（土）,福島,16:30,サラ系3歳上500万円以下,12R,芝1200,1勝
