枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,ヒーローインチーフ,せん,4,58.0,西塚 洸二,吉田 直弘(栗東),2510020812,2025年7月20日（日）,小倉,16:15,耶馬渓特別,12R,芝1200,2勝
1,2,フリッカージャブ,牡,3,55.0,松山 弘平,西園 翔太(栗東),2510020812,2025年7月20日（日）,小倉,16:15,耶馬渓特別,12R,芝1200,2勝
2,3,サトノプリエール,牝,6,56.0,団野 大成,斉藤 崇史(栗東),2510020812,2025年7月20日（日）,小倉,16:15,耶馬渓特別,12R,芝1200,2勝
2,4,メイショウコギク,牝,5,56.0,亀田 温心,石橋 守(栗東),2510020812,2025年7月20日（日）,小倉,16:15,耶馬渓特別,12R,芝1200,2勝
3,5,タガノスペルノヴァ,牡,7,58.0,川須 栄彦,中尾 秀正(栗東),2510020812,2025年7月20日（日）,小倉,16:15,耶馬渓特別,12R,芝1200,2勝
3,6,ガリレイ,せん,8,58.0,角田 大和,高橋 亮(栗東),2510020812,2025年7月20日（日）,小倉,16:15,耶馬渓特別,12R,芝1200,2勝
4,7,インテンソ,せん,5,58.0,泉谷 楓真,松永 幹夫(栗東),2510020812,2025年7月20日（日）,小倉,16:15,耶馬渓特別,12R,芝1200,2勝
4,8,アオイレーギーナ,牝,3,53.0,幸 英明,宮地 貴稔(栗東),2510020812,2025年7月20日（日）,小倉,16:15,耶馬渓特別,12R,芝1200,2勝
5,9,テーオースパロー,牡,6,58.0,吉村 誠之助,清水 久詞(栗東),2510020812,2025年7月20日（日）,小倉,16:15,耶馬渓特別,12R,芝1200,2勝
5,10,ディアドコス,牡,5,58.0,小沢 大仁,羽月 友彦(栗東),2510020812,2025年7月20日（日）,小倉,16:15,耶馬渓特別,12R,芝1200,2勝
6,11,サンドロナイト,牝,4,56.0,北村 友一,茶木 太樹(栗東),2510020812,2025年7月20日（日）,小倉,16:15,耶馬渓特別,12R,芝1200,2勝
6,12,トーホウフランゴ,牝,5,56.0,酒井 学,高橋 康之(栗東),2510020812,2025年7月20日（日）,小倉,16:15,耶馬渓特別,12R,芝1200,2勝
7,13,キャッスルレイク,牝,3,53.0,田口 貫太,松下 武士(栗東),2510020812,2025年7月20日（日）,小倉,16:15,耶馬渓特別,12R,芝1200,2勝
7,14,スリールミニョン,牝,3,53.0,永島 まなみ,高橋 康之(栗東),2510020812,2025年7月20日（日）,小倉,16:15,耶馬渓特別,12R,芝1200,2勝
7,15,ベンガン,牡,8,58.0,国分 優作,千田 輝彦(栗東),2510020812,2025年7月20日（日）,小倉,16:15,耶馬渓特別,12R,芝1200,2勝
8,16,システムリブート,牡,5,58.0,高杉 吏麒,佐藤 悠太(栗東),2510020812,2025年7月20日（日）,小倉,16:15,耶馬渓特別,12R,芝1200,2勝
8,17,ロードマイライフ,牡,4,58.0,松若 風馬,杉山 晴紀(栗東),2510020812,2025年7月20日（日）,小倉,16:15,耶馬渓特別,12R,芝1200,2勝
8,18,インブロリオ,牝,3,53.0,川田 将雅,吉村 圭司(栗東),2510020812,2025年7月20日（日）,小倉,16:15,耶馬渓特別,12R,芝1200,2勝
