枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,アドバンスファラオ,牡,5,57.0,松若 風馬,森 秀行(栗東),2507030207,2025年7月27日（日）,中京,15:35,東海ステークスGIII,7R,ダ1400,Ｇ３
1,2,ビダーヤ,牡,4,57.0,坂井 瑠星,矢作 芳人(栗東),2507030207,2025年7月27日（日）,中京,15:35,東海ステークスGIII,7R,ダ1400,Ｇ３
2,3,オメガギネス,牡,5,57.0,岩田 康誠,安田 翔伍(栗東),2507030207,2025年7月27日（日）,中京,15:35,東海ステークスGIII,7R,ダ1400,Ｇ３
2,4,エートラックス,牡,4,58.0,A.バデル,宮本 博(栗東),2507030207,2025年7月27日（日）,中京,15:35,東海ステークスGIII,7R,ダ1400,Ｇ３
3,5,イグザルト,牡,6,57.0,御神本 訓史,荒山 勝徳(招待),2507030207,2025年7月27日（日）,中京,15:35,東海ステークスGIII,7R,ダ1400,Ｇ３
3,6,ダノンスコーピオン,牡,6,59.0,幸 英明,福永 祐一(栗東),2507030207,2025年7月27日（日）,中京,15:35,東海ステークスGIII,7R,ダ1400,Ｇ３
4,7,ヤマニンウルス,牡,5,57.0,武 豊,斉藤 崇史(栗東),2507030207,2025年7月27日（日）,中京,15:35,東海ステークスGIII,7R,ダ1400,Ｇ３
4,8,インユアパレス,牡,4,57.0,川田 将雅,須貝 尚介(栗東),2507030207,2025年7月27日（日）,中京,15:35,東海ステークスGIII,7R,ダ1400,Ｇ３
5,9,ライツフォル,牡,5,57.0,小沢 大仁,高橋 義忠(栗東),2507030207,2025年7月27日（日）,中京,15:35,東海ステークスGIII,7R,ダ1400,Ｇ３
5,10,ヴィクティファルス,せん,7,58.0,亀田 温心,池添 学(栗東),2507030207,2025年7月27日（日）,中京,15:35,東海ステークスGIII,7R,ダ1400,Ｇ３
6,11,ロードエクレール,牡,7,57.0,高杉 吏麒,斎藤 誠(美浦),2507030207,2025年7月27日（日）,中京,15:35,東海ステークスGIII,7R,ダ1400,Ｇ３
6,12,アルファマム,牝,6,55.0,団野 大成,佐々木 晶三(栗東),2507030207,2025年7月27日（日）,中京,15:35,東海ステークスGIII,7R,ダ1400,Ｇ３
7,13,コンクイスタ,せん,5,57.0,松山 弘平,吉岡 辰弥(栗東),2507030207,2025年7月27日（日）,中京,15:35,東海ステークスGIII,7R,ダ1400,Ｇ３
7,14,サンライズホーク,せん,6,57.0,吉村 誠之助,牧浦 充徳(栗東),2507030207,2025年7月27日（日）,中京,15:35,東海ステークスGIII,7R,ダ1400,Ｇ３
8,15,リジル,牝,4,55.0,田口 貫太,奥村 豊(栗東),2507030207,2025年7月27日（日）,中京,15:35,東海ステークスGIII,7R,ダ1400,Ｇ３
8,16,サンライズフレイム,牡,5,57.0,菱田 裕二,石坂 公一(栗東),2507030207,2025年7月27日（日）,中京,15:35,東海ステークスGIII,7R,ダ1400,Ｇ３
