枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,フェアーメロディ,牝,3,52.0,舟山 瑠泉,高橋 義忠(栗東),2501010201,2025年7月27日（日）,札幌,9:55,サラ系3歳未勝利,1R,ダ1700,未勝利
2,2,ミサビスケッツ,牝,3,55.0,丹内 祐次,村田 一誠(美浦),2501010201,2025年7月27日（日）,札幌,9:55,サラ系3歳未勝利,1R,ダ1700,未勝利
3,3,メイショウハマギク,牝,3,52.0,小林 美駒,藤岡 健一(栗東),2501010201,2025年7月27日（日）,札幌,9:55,サラ系3歳未勝利,1R,ダ1700,未勝利
3,4,ユージュアーナ,牝,3,55.0,斎藤 新,奥村 豊(栗東),2501010201,2025年7月27日（日）,札幌,9:55,サラ系3歳未勝利,1R,ダ1700,未勝利
4,5,モアサナイト,牝,3,55.0,佐々木 大輔,小林 真也(栗東),2501010201,2025年7月27日（日）,札幌,9:55,サラ系3歳未勝利,1R,ダ1700,未勝利
4,6,スタードメイソン,牝,3,52.0,和田 陽希,藤原 英昭(栗東),2501010201,2025年7月27日（日）,札幌,9:55,サラ系3歳未勝利,1R,ダ1700,未勝利
5,7,ウインフルゴラ,牝,3,55.0,黛 弘人,新谷 功一(栗東),2501010201,2025年7月27日（日）,札幌,9:55,サラ系3歳未勝利,1R,ダ1700,未勝利
5,8,サンダーフレア,牝,3,55.0,吉田 隼人,久保田 貴士(美浦),2501010201,2025年7月27日（日）,札幌,9:55,サラ系3歳未勝利,1R,ダ1700,未勝利
6,9,オルミラベル,牝,3,55.0,藤岡 佑介,上村 洋行(栗東),2501010201,2025年7月27日（日）,札幌,9:55,サラ系3歳未勝利,1R,ダ1700,未勝利
6,10,タヤスソーレ,牝,3,52.0,柴田 裕一郎,岩戸 孝樹(美浦),2501010201,2025年7月27日（日）,札幌,9:55,サラ系3歳未勝利,1R,ダ1700,未勝利
7,11,スマートイザナミ,牝,3,55.0,鮫島 克駿,谷 潔(栗東),2501010201,2025年7月27日（日）,札幌,9:55,サラ系3歳未勝利,1R,ダ1700,未勝利
7,12,セレーネアステール,牝,3,52.0,森田 誠也,武 幸四郎(栗東),2501010201,2025年7月27日（日）,札幌,9:55,サラ系3歳未勝利,1R,ダ1700,未勝利
8,13,ハローエンジェル,牝,3,55.0,北村 友一,田中 克典(栗東),2501010201,2025年7月27日（日）,札幌,9:55,サラ系3歳未勝利,1R,ダ1700,未勝利
8,14,アラマンダ,牝,3,55.0,荻野 琢真,平田 修(栗東),2501010201,2025年7月27日（日）,札幌,9:55,サラ系3歳未勝利,1R,ダ1700,未勝利
