枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,サクラコーラル,牡,3,57.0,吉田 豊,尾関 知人(美浦),2504020302,2025年8月2日（土）,新潟,10:20,サラ系3歳未勝利,2R,ダ1800,未勝利
2,2,ザタイムズ,牝,3,55.0,大野 拓弥,萩原 清(美浦),2504020302,2025年8月2日（土）,新潟,10:20,サラ系3歳未勝利,2R,ダ1800,未勝利
2,3,レベチアミーゴ,牡,3,54.0,遠藤 汰月,千葉 直人(美浦),2504020302,2025年8月2日（土）,新潟,10:20,サラ系3歳未勝利,2R,ダ1800,未勝利
3,4,トンヤイビーン,牡,3,54.0,石田 拓郎,辻 哲英(美浦),2504020302,2025年8月2日（土）,新潟,10:20,サラ系3歳未勝利,2R,ダ1800,未勝利
3,5,アバレリュウ,牡,3,57.0,野中 悠太郎,鈴木 慎太郎(美浦),2504020302,2025年8月2日（土）,新潟,10:20,サラ系3歳未勝利,2R,ダ1800,未勝利
4,6,ヴァルトバーデン,牡,3,57.0,江田 照男,嘉藤 貴行(美浦),2504020302,2025年8月2日（土）,新潟,10:20,サラ系3歳未勝利,2R,ダ1800,未勝利
4,7,ファリードゥーン,牡,3,57.0,菅原 明良,高木 登(美浦),2504020302,2025年8月2日（土）,新潟,10:20,サラ系3歳未勝利,2R,ダ1800,未勝利
5,8,ミッキーサンズ,牡,3,57.0,原 優介,萩原 清(美浦),2504020302,2025年8月2日（土）,新潟,10:20,サラ系3歳未勝利,2R,ダ1800,未勝利
5,9,ガルガファルム,牡,3,57.0,三浦 皇成,稲垣 幸雄(美浦),2504020302,2025年8月2日（土）,新潟,10:20,サラ系3歳未勝利,2R,ダ1800,未勝利
6,10,トキノカンピオーネ,牡,3,57.0,戸崎 圭太,矢野 英一(美浦),2504020302,2025年8月2日（土）,新潟,10:20,サラ系3歳未勝利,2R,ダ1800,未勝利
6,11,レッドシュトラール,牡,3,57.0,丸山 元気,宮田 敬介(美浦),2504020302,2025年8月2日（土）,新潟,10:20,サラ系3歳未勝利,2R,ダ1800,未勝利
7,12,フラッシュタイム,牡,3,57.0,菊沢 一樹,佐藤 吉勝(美浦),2504020302,2025年8月2日（土）,新潟,10:20,サラ系3歳未勝利,2R,ダ1800,未勝利
7,13,センジュコスモス,牝,3,55.0,内田 博幸,南田 美知雄(美浦),2504020302,2025年8月2日（土）,新潟,10:20,サラ系3歳未勝利,2R,ダ1800,未勝利
8,14,グールマン,牡,3,57.0,石橋 脩,池上 昌和(美浦),2504020302,2025年8月2日（土）,新潟,10:20,サラ系3歳未勝利,2R,ダ1800,未勝利
8,15,オンザバサラ,牡,3,57.0,杉原 誠人,大和田 成(美浦),2504020302,2025年8月2日（土）,新潟,10:20,サラ系3歳未勝利,2R,ダ1800,未勝利
