枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,開催地,発走時刻,レース名,レース番号
1,1,イージーゴーイング ,牡,3,57.0,小沢 大仁,飯田 祐史(栗東),2507030405,2025年8月3日（日）,中京,11:40,サラ系3歳未勝利,5R
1,2,ビップディラン ,牡,3,57.0,坂井 瑠星,小椋 研介(栗東),2507030405,2025年8月3日（日）,中京,11:40,サラ系3歳未勝利,5R
2,3,テルモピュライ ,牡,3,57.0,角田 大和,飯田 祐史(栗東),2507030405,2025年8月3日（日）,中京,11:40,サラ系3歳未勝利,5R
2,4,モズノセイギ ,牡,3,57.0,松若 風馬,荒川 義之(栗東),2507030405,2025年8月3日（日）,中京,11:40,サラ系3歳未勝利,5R
3,5,メイショウハヤセ ,牝,3,55.0,岩田 康誠,笹田 和秀(栗東),2507030405,2025年8月3日（日）,中京,11:40,サラ系3歳未勝利,5R
3,6,ララベルドゥニュイ ,牝,3,53.0,永島 まなみ,松下 武士(栗東),2507030405,2025年8月3日（日）,中京,11:40,サラ系3歳未勝利,5R
4,7,マイベストダンサー ,牝,3,52.0,田山 旺佑,斉藤 崇史(栗東),2507030405,2025年8月3日（日）,中京,11:40,サラ系3歳未勝利,5R
4,8,カフジアッサム ,牡,3,57.0,鮫島 良太,河嶋 宏樹(栗東),2507030405,2025年8月3日（日）,中京,11:40,サラ系3歳未勝利,5R
5,9,ジュンライトニング ,牡,3,57.0,酒井 学,清水 久詞(栗東),2507030405,2025年8月3日（日）,中京,11:40,サラ系3歳未勝利,5R
5,10,エイシンヤタガラス ,牡,3,57.0,A.バデル,渡辺 薫彦(栗東),2507030405,2025年8月3日（日）,中京,11:40,サラ系3歳未勝利,5R
6,11,サトノビエント ,牝,3,55.0,団野 大成,上村 洋行(栗東),2507030405,2025年8月3日（日）,中京,11:40,サラ系3歳未勝利,5R
6,12,ヴノ ,牡,3,57.0,田口 貫太,野中 賢二(栗東),2507030405,2025年8月3日（日）,中京,11:40,サラ系3歳未勝利,5R
7,13,タイセイフィオーレ ,牡,3,56.0,吉村 誠之助,高野 友和(栗東),2507030405,2025年8月3日（日）,中京,11:40,サラ系3歳未勝利,5R
7,14,ティプタラ ,牡,3,57.0,和田 竜二,友道 康夫(栗東),2507030405,2025年8月3日（日）,中京,11:40,サラ系3歳未勝利,5R
8,15,ヴェルニッツ ,牡,3,57.0,幸 英明,杉山 晴紀(栗東),2507030405,2025年8月3日（日）,中京,11:40,サラ系3歳未勝利,5R
8,16,ブルーブレイブ ,牝,3,54.0,西塚 洸二,清水 久詞(栗東),2507030405,2025年8月3日（日）,中京,11:40,サラ系3歳未勝利,5R
