枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,開催地,発走時刻,レース名,レース番号
1,1,ランニングビーチ ,牡,2,54.0,高杉 吏麒,牧 光二(美浦),2504020402,2025年8月3日（日）,新潟,10:20,サラ系2歳新馬,2R
2,2,ライトアファイア ,牡,2,55.0,菊沢 一樹,伊藤 圭三(美浦),2504020402,2025年8月3日（日）,新潟,10:20,サラ系2歳新馬,2R
2,3,アルファシーナ ,牡,2,52.0,遠藤 汰月,伊藤 伸一(美浦),2504020402,2025年8月3日（日）,新潟,10:20,サラ系2歳新馬,2R
3,4,マーゴットクリュグ ,牝,2,55.0,国分 恭介,小林 真也(栗東),2504020402,2025年8月3日（日）,新潟,10:20,サラ系2歳新馬,2R
3,5,モアザンファイア ,牡,2,53.0,今村 聖奈,武井 亮(美浦),2504020402,2025年8月3日（日）,新潟,10:20,サラ系2歳新馬,2R
4,6,シューティングガイ ,牡,2,55.0,斎藤 新,斎藤 誠(美浦),2504020402,2025年8月3日（日）,新潟,10:20,サラ系2歳新馬,2R
4,7,チャチャコマニ ,牝,2,55.0,戸崎 圭太,佐藤 悠太(栗東),2504020402,2025年8月3日（日）,新潟,10:20,サラ系2歳新馬,2R
5,8,イナズマダイモン ,牡,2,55.0,菅原 明良,宮田 敬介(美浦),2504020402,2025年8月3日（日）,新潟,10:20,サラ系2歳新馬,2R
5,9,ウインターブレス ,牡,2,55.0,木幡 巧也,竹内 正洋(美浦),2504020402,2025年8月3日（日）,新潟,10:20,サラ系2歳新馬,2R
6,10,トーアシチフクジン ,牡,2,55.0,江田 照男,村田 一誠(美浦),2504020402,2025年8月3日（日）,新潟,10:20,サラ系2歳新馬,2R
6,11,リバーシティ ,牡,2,52.0,石神 深道,和田 正一郎(美浦),2504020402,2025年8月3日（日）,新潟,10:20,サラ系2歳新馬,2R
7,12,トモエナゲ ,牡,2,55.0,武藤 雅,青木 孝文(美浦),2504020402,2025年8月3日（日）,新潟,10:20,サラ系2歳新馬,2R
7,13,ドゥーニ ,牡,2,55.0,津村 明秀,矢嶋 大樹(美浦),2504020402,2025年8月3日（日）,新潟,10:20,サラ系2歳新馬,2R
8,14,サマーマッドネス ,牡,2,55.0,丸山 元気,森 秀行(栗東),2504020402,2025年8月3日（日）,新潟,10:20,サラ系2歳新馬,2R
8,15,ルサフィール ,牝,2,55.0,原 優介,矢野 英一(美浦),2504020402,2025年8月3日（日）,新潟,10:20,サラ系2歳新馬,2R
