枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,開催地,発走時刻,レース名,レース番号
1,1,マンゲタック ,牝,3,55.0,武 豊,古賀 慎明(美浦),2501010406,2025年8月3日（日）,札幌,12:50,サラ系3歳未勝利,6R
2,2,ルルファーレ ,牝,3,52.0,小林 美駒,菊沢 隆徳(美浦),2501010406,2025年8月3日（日）,札幌,12:50,サラ系3歳未勝利,6R
3,3,リラゲイル ,牡,3,57.0,佐々木 大輔,須貝 尚介(栗東),2501010406,2025年8月3日（日）,札幌,12:50,サラ系3歳未勝利,6R
3,4,シャンパングラス ,牡,3,57.0,鮫島 克駿,池上 昌和(美浦),2501010406,2025年8月3日（日）,札幌,12:50,サラ系3歳未勝利,6R
4,5,キュイジニエール ,牝,3,55.0,横山 武史,新谷 功一(栗東),2501010406,2025年8月3日（日）,札幌,12:50,サラ系3歳未勝利,6R
4,6,トーセンアーロン ,牡,3,57.0,原田 和真,小笠 倫弘(美浦),2501010406,2025年8月3日（日）,札幌,12:50,サラ系3歳未勝利,6R
5,7,フリアフロリダ ,牝,3,51.0,鷲頭 虎太,小栗 実(栗東),2501010406,2025年8月3日（日）,札幌,12:50,サラ系3歳未勝利,6R
5,8,アルシャンティ ,牝,3,52.0,舟山 瑠泉,茶木 太樹(栗東),2501010406,2025年8月3日（日）,札幌,12:50,サラ系3歳未勝利,6R
6,9,ショウナンタハティ ,牡,3,57.0,R.キング,大竹 正博(美浦),2501010406,2025年8月3日（日）,札幌,12:50,サラ系3歳未勝利,6R
6,10,スルースウェイ ,牝,3,52.0,柴田 裕一郎,藤岡 健一(栗東),2501010406,2025年8月3日（日）,札幌,12:50,サラ系3歳未勝利,6R
7,11,ナッシングベター ,牝,3,55.0,横山 琉人,稲垣 幸雄(美浦),2501010406,2025年8月3日（日）,札幌,12:50,サラ系3歳未勝利,6R
7,12,オニムシャ ,牡,3,54.0,和田 陽希,松永 幹夫(栗東),2501010406,2025年8月3日（日）,札幌,12:50,サラ系3歳未勝利,6R
8,13,ウインイザナミ ,牝,3,55.0,丹内 祐次,上原 博之(美浦),2501010406,2025年8月3日（日）,札幌,12:50,サラ系3歳未勝利,6R
8,14,ウフルピーク ,牝,3,55.0,藤岡 佑介,藤岡 健一(栗東),2501010406,2025年8月3日（日）,札幌,12:50,サラ系3歳未勝利,6R
